username, password,displayName,firstName,middleName,lastName,gender,birthdate,email,phoneNumber,phoneCode,languageCode,postalCode, avatarFileId,pdpa,receiveSMS,receiveEmail,receiveDirectMail,posCustomerId,extraPhoneNumber,region
osimtest001@hotmail.com,Osimtest1@,osimtest001@hotmail.com,Mickey1,mn1,Osim1,Female,17/9/1972,osimtest001@hotmail.com,11111111,65,en,123456,,TRUE,,TRUE,,,13100001,SG
osimtest002@hotmail.com,Osimtest1@,osimtest002@hotmail.com,Mickey2,mn2,Osim2,Male,18/9/1972,osimtest002@hotmail.com,22222222,65,ch,123456,,TRUE,,TRUE,,,13100002,SG
osimtest003@hotmail.com,Osimtest1@,osimtest003@hotmail.com,Mickey3,mn3,Osim3,Female,19/9/1972,osimtest003@hotmail.com,33333333,65,en,123456,,TRUE,,TRUE,,,13100003,SG
osimtest004@hotmail.com,Osimtest1@,osimtest004@hotmail.com,Mickey4,mn4,Osim4,Male,20/9/1972,osimtest004@hotmail.com,44444444,65,ch,123456,,TRUE,,TRUE,,,13100004,SG
osimtest005@hotmail.com,Osimtest1@,osimtest005@hotmail.com,Mickey5,mn5,Osim5,Female,21/9/1972,osimtest005@hotmail.com,55555555,65,en,123456,,TRUE,,TRUE,,,13100005,SG
osimtest006@hotmail.com,Osimtest1@,osimtest006@hotmail.com,Mickey6,mn6,Osim6,Male,22/9/1972,osimtest006@hotmail.com,66666666,65,ch,123456,,,TRUE,,TRUE,,13100006,SG
osimtest007@hotmail.com,Osimtest1@,osimtest007@hotmail.com,Mickey7,mn7,Osim7,Female,23/9/1972,osimtest007@hotmail.com,77777777,65,en,123456,,,TRUE,,TRUE,,13100007,SG
osimtest008@hotmail.com,Osimtest1@,osimtest008@hotmail.com,Mickey8,mn8,Osim8,Male,24/9/1972,osimtest008@hotmail.com,88888888,65,ch,123456,,,TRUE,,TRUE,,13100008,SG
osimtest009@hotmail.com,Osimtest1@,osimtest009@hotmail.com,Mickey9,mn9,Osim9,Female,25/9/1972,osimtest009@hotmail.com,99999999,65,en,123456,,,TRUE,,TRUE,,13100009,SG
osimtest010@hotmail.com,Osimtest1@,osimtest010@hotmail.com,Mickey10,mn10,Osim10,Male,26/9/1972,osimtest010@hotmail.com,11111112,65,ch,123456,,,TRUE,,TRUE,,13100010,SG
osimtest011@hotmail.com,Osimtest1@,osimtest011@hotmail.com,Mickey11,mn11,Osim11,Female,17/9/1972,osimtest011@hotmail.com,11111111,65,en,123456,,TRUE,,TRUE,,,13100001,SG
osimtest012@hotmail.com,Osimtest1@,osimtest012@hotmail.com,Mickey12,mn12,Osim12,Male,18/9/1972,osimtest012@hotmail.com,22222222,65,ch,123456,,TRUE,,TRUE,,,13100002,SG
osimtest013@hotmail.com,Osimtest1@,osimtest013@hotmail.com,Mickey13,mn13,Osim13,Female,19/9/1972,osimtest013@hotmail.com,33333333,65,en,123456,,TRUE,,TRUE,,,13100003,SG
osimtest014@hotmail.com,Osimtest1@,osimtest014@hotmail.com,Mickey14,mn14,Osim14,Male,20/9/1972,osimtest014@hotmail.com,44444444,65,ch,123456,,TRUE,,TRUE,,,13100004,SG
osimtest015@hotmail.com,Osimtest1@,osimtest015@hotmail.com,Mickey15,mn15,Osim15,Female,21/9/1972,osimtest015@hotmail.com,55555555,65,en,123456,,TRUE,,TRUE,,,13100005,SG
osimtest016@hotmail.com,Osimtest1@,osimtest016@hotmail.com,Mickey16,mn16,Osim16,Male,22/9/1972,osimtest016@hotmail.com,66666666,65,ch,123456,,,TRUE,,TRUE,,13100006,SG
osimtest017@hotmail.com,Osimtest1@,osimtest017@hotmail.com,Mickey17,mn17,Osim17,Female,23/9/1972,osimtest017@hotmail.com,77777777,65,en,123456,,,TRUE,,TRUE,,13100007,SG
osimtest018@hotmail.com,Osimtest1@,osimtest018@hotmail.com,Mickey18,mn18,Osim18,Male,24/9/1972,osimtest018@hotmail.com,88888888,65,ch,123456,,,TRUE,,TRUE,,13100008,SG
osimtest019@hotmail.com,Osimtest1@,osimtest019@hotmail.com,Mickey19,mn19,Osim19,Female,25/9/1972,osimtest019@hotmail.com,99999999,65,en,123456,,,TRUE,,TRUE,,13100009,SG
osimtest020@hotmail.com,Osimtest1@,osimtest020@hotmail.com,Mickey20,mn20,Osim20,Male,26/9/1972,osimtest020@hotmail.com,11111112,65,ch,123456,,,TRUE,,TRUE,,13100010,SG
osimtest021@hotmail.com,Osimtest1@,osimtest021@hotmail.com,Mickey21,mn21,Osim21,Female,17/9/1972,osimtest021@hotmail.com,11111111,65,en,123456,,TRUE,,TRUE,,,13100001,SG
osimtest022@hotmail.com,Osimtest1@,osimtest022@hotmail.com,Mickey22,mn22,Osim22,Male,18/9/1972,osimtest022@hotmail.com,22222222,65,ch,123456,,TRUE,,TRUE,,,13100002,SG
osimtest023@hotmail.com,Osimtest1@,osimtest023@hotmail.com,Mickey23,mn23,Osim23,Female,19/9/1972,osimtest023@hotmail.com,33333333,65,en,123456,,TRUE,,TRUE,,,13100003,SG
osimtest024@hotmail.com,Osimtest1@,osimtest024@hotmail.com,Mickey24,mn24,Osim24,Male,20/9/1972,osimtest024@hotmail.com,44444444,65,ch,123456,,TRUE,,TRUE,,,13100004,SG
osimtest025@hotmail.com,Osimtest1@,osimtest025@hotmail.com,Mickey25,mn25,Osim25,Female,21/9/1972,osimtest025@hotmail.com,55555555,65,en,123456,,TRUE,,TRUE,,,13100005,SG
osimtest026@hotmail.com,Osimtest1@,osimtest026@hotmail.com,Mickey26,mn26,Osim26,Male,22/9/1972,osimtest026@hotmail.com,66666666,65,ch,123456,,,TRUE,,TRUE,,13100006,SG
osimtest027@hotmail.com,Osimtest1@,osimtest027@hotmail.com,Mickey27,mn27,Osim27,Female,23/9/1972,osimtest027@hotmail.com,77777777,65,en,123456,,,TRUE,,TRUE,,13100007,SG
osimtest028@hotmail.com,Osimtest1@,osimtest028@hotmail.com,Mickey28,mn28,Osim28,Male,24/9/1972,osimtest028@hotmail.com,88888888,65,ch,123456,,,TRUE,,TRUE,,13100008,SG
osimtest029@hotmail.com,Osimtest1@,osimtest029@hotmail.com,Mickey29,mn29,Osim29,Female,25/9/1972,osimtest029@hotmail.com,99999999,65,en,123456,,,TRUE,,TRUE,,13100009,SG
osimtest030@hotmail.com,Osimtest1@,osimtest030@hotmail.com,Mickey30,mn30,Osim30,Male,26/9/1972,osimtest030@hotmail.com,11111112,65,ch,123456,,,TRUE,,TRUE,,13100010,SG
osimtest031@hotmail.com,Osimtest1@,osimtest031@hotmail.com,Mickey31,mn31,Osim31,Female,17/9/1972,osimtest031@hotmail.com,11111111,65,en,123456,,TRUE,,TRUE,,,13100001,SG
osimtest032@hotmail.com,Osimtest1@,osimtest032@hotmail.com,Mickey32,mn32,Osim32,Male,18/9/1972,osimtest032@hotmail.com,22222222,65,ch,123456,,TRUE,,TRUE,,,13100002,SG
osimtest033@hotmail.com,Osimtest1@,osimtest033@hotmail.com,Mickey33,mn33,Osim33,Female,19/9/1972,osimtest033@hotmail.com,33333333,65,en,123456,,TRUE,,TRUE,,,13100003,SG
osimtest034@hotmail.com,Osimtest1@,osimtest034@hotmail.com,Mickey34,mn34,Osim34,Male,20/9/1972,osimtest034@hotmail.com,44444444,65,ch,123456,,TRUE,,TRUE,,,13100004,SG
osimtest035@hotmail.com,Osimtest1@,osimtest035@hotmail.com,Mickey35,mn35,Osim35,Female,21/9/1972,osimtest035@hotmail.com,55555555,65,en,123456,,TRUE,,TRUE,,,13100005,SG
osimtest036@hotmail.com,Osimtest1@,osimtest036@hotmail.com,Mickey36,mn36,Osim36,Male,22/9/1972,osimtest036@hotmail.com,66666666,65,ch,123456,,,TRUE,,TRUE,,13100006,SG
osimtest037@hotmail.com,Osimtest1@,osimtest037@hotmail.com,Mickey37,mn37,Osim37,Female,23/9/1972,osimtest037@hotmail.com,77777777,65,en,123456,,,TRUE,,TRUE,,13100007,SG
osimtest038@hotmail.com,Osimtest1@,osimtest038@hotmail.com,Mickey38,mn38,Osim38,Male,24/9/1972,osimtest038@hotmail.com,88888888,65,ch,123456,,,TRUE,,TRUE,,13100008,SG
osimtest039@hotmail.com,Osimtest1@,osimtest039@hotmail.com,Mickey39,mn39,Osim39,Female,25/9/1972,osimtest039@hotmail.com,99999999,65,en,123456,,,TRUE,,TRUE,,13100009,SG
osimtest040@hotmail.com,Osimtest1@,osimtest040@hotmail.com,Mickey40,mn40,Osim40,Male,26/9/1972,osimtest040@hotmail.com,11111112,65,ch,123456,,,TRUE,,TRUE,,13100010,SG
osimtest041@hotmail.com,Osimtest1@,osimtest041@hotmail.com,Mickey41,mn41,Osim41,Female,17/9/1972,osimtest041@hotmail.com,11111111,65,en,123456,,TRUE,,TRUE,,,13100001,SG
osimtest042@hotmail.com,Osimtest1@,osimtest042@hotmail.com,Mickey42,mn42,Osim42,Male,18/9/1972,osimtest042@hotmail.com,22222222,65,ch,123456,,TRUE,,TRUE,,,13100002,SG
